ASIN,Name,Category,Price,Rating,Reviews,Availability,URL
B098QHFPVS,Kapiva Liver Care Juice,Chronic Care,655,4.2,1674,In Stock,https://www.amazon.in/dp/B098QHFPVS
B0BL3TN1QC,Shilajit Gold Resin,Men's Health,1283,4.2,6768,In Stock,https://www.amazon.in/dp/B0BL3TN1QC
B09TFQ9TLZ,Himalayan Shilajit,Men's Health,1648,4.1,3227,In Stock,https://www.amazon.in/dp/B09TFQ9TLZ
B0BPLVZRNZ,Shilajit Gold Caps,Men's Health,1199,4.0,3873,In Stock,https://www.amazon.in/dp/B0BPLVZRNZ
B09BZNDYT2,Shilajit Resin 20g,Men's Health,849,4.0,10176,In Stock,https://www.amazon.in/dp/B09BZNDYT2
B07DRB3D5Z,Get Slim Juice 1L,Weight Management,479,3.8,9780,In Stock,https://www.amazon.in/dp/B07DRB3D5Z
B09MMH943Y,Get Slim Juice 2L,Weight Management,978,3.9,1120,In Stock,https://www.amazon.in/dp/B09MMH943Y
B07MDK6FQR,Plant Protein,Nutrition & Protein,1779,3.9,758,In Stock,https://www.amazon.in/dp/B07MDK6FQR
B07GWPCCGX,A2 Gir Cow Ghee,Nutrition & Organics,742,4.0,1382,In Stock,https://www.amazon.in/dp/B07GWPCCGX
B09N3B345J,Skin Glow Mix,Skin & Hair Care,888,3.7,2470,In Stock,https://www.amazon.in/dp/B09N3B345J
B09PDYXR4H,Hair Care Juice,Skin & Hair Care,1452,3.9,199,In Stock,https://www.amazon.in/dp/B09PDYXR4H
B07SZ43SWF,Aloe Vera Gel,Skin & Hair Care,349,4.2,6228,In Stock,https://www.amazon.in/dp/B07SZ43SWF
