ASIN,Name,Category,Price,Rating,Reviews,Availability,URL
B098QHFPVS,Kapiva Liver Care Juice,Chronic Care,655,4.2,1661,In Stock,https://www.amazon.in/dp/B098QHFPVS
B0BL3TN1QC,Shilajit Gold Resin,Men's Health,1254,4.2,6757,In Stock,https://www.amazon.in/dp/B0BL3TN1QC
B09TFQ9TLZ,Himalayan Shilajit,Men's Health,1648,4.1,3224,In Stock,https://www.amazon.in/dp/B09TFQ9TLZ
B0BPLVZRNZ,Shilajit Gold Caps,Men's Health,1199,4.0,3862,In Stock,https://www.amazon.in/dp/B0BPLVZRNZ
B09BZNDYT2,Shilajit Resin 20g,Men's Health,699,4.0,10169,In Stock,https://www.amazon.in/dp/B09BZNDYT2
B07DRB3D5Z,Get Slim Juice 1L,Weight Management,479,3.8,9778,In Stock,https://www.amazon.in/dp/B07DRB3D5Z
B09MMH943Y,Get Slim Juice 2L,Weight Management,978,3.9,1119,In Stock,https://www.amazon.in/dp/B09MMH943Y
B07MDK6FQR,Plant Protein,Nutrition & Protein,1779,3.9,758,In Stock,https://www.amazon.in/dp/B07MDK6FQR
B07GWPCCGX,A2 Gir Cow Ghee,Nutrition & Organics,740,4.0,1381,In Stock,https://www.amazon.in/dp/B07GWPCCGX
B09N3B345J,Skin Glow Mix,Skin & Hair Care,888,3.7,2468,In Stock,https://www.amazon.in/dp/B09N3B345J
B09PDYXR4H,Hair Care Juice,Skin & Hair Care,1452,3.9,199,In Stock,https://www.amazon.in/dp/B09PDYXR4H
B07SZ43SWF,Aloe Vera Gel,Skin & Hair Care,349,4.2,6224,In Stock,https://www.amazon.in/dp/B07SZ43SWF
